Id,Start time,Completion time,Email,Name,Gender / ?????,Age Range / ??????? ???????,What is your highest level of education? / ???? ???? ????? ?????? ?????,What’s your field of study? / ???? ??????,Do you have previous work experience? / ?? ???? ???? ??? ??????,"If yes, then in which main sector? / ??? ??? ?????? ???? ?? ?? ???? ??????
",In which specific sector? / ?? ?? ???? ?????????,How satisfied are you with your current job? / ????? ???? ?? ?????? ????????,Does your job match your skills and qualifications? / ?? ?????? ?????? ?? ??????? ? ????????,How many hours do you work per day? / ??? ????? ????? ???????,Night or day shift? / ????? ??? ?????? ?? ???????,Are your working hours suitable for your lifestyle? / ?? ????? ???? ?????? ?? ??? ??????,Does your company provide training or development opportunities? / ?? ???? ??? ???? ??? ????? ?? ??????,Do you see opportunities for promotion in your job? / ?? ??? ????? ??????? ?? ???????,Do you feel your job is stable long-term? / ?? ???? ?????????? ?? ???? ??? ????? ???????,What 3 factors influence your choice of job the most? / ???? ???? ????? ????? ???? ??? ??????? ??????? ???? ?? ???????? ???? ?????,Which would you choose? / ?? ?? ???????? ?????? ?? ??????,What would make you refuse a job even if the salary is acceptable? / ?? ?? ??? ???????? ?? ????? ???? ????? ??? ?? ???? ??????,Would you consider working in a manufacturing or industrial job? / ?? ???? ?? ????? ?? ???? ????????,What are your concerns about working in industrial/manufacturing jobs? / ?? ?? ?????? ???? ????? ?? ??????? ????????/??????????,Has Saudization improved job opportunities in your sector? / ?? ????? ??????? ??? ????? ??? ????? ?? ??????
71,3/30/2026 14:02,3/30/2026 14:05,anonymous,,Female / ????,25-34,Bachelor’s degree / ?????????,Engineering / ???????,Yes,Private / ???,Real estate activities / ???????? ????????,Slightly dissatisfied / ??? ???? ??????,Fully matches / ?????? ??????,8-10 hours / ?-?? ?????,Day / ??????,No,No,No,No,Salary / ??????;Working hours / ??? ????? ?????;Job stability / ????????? ???????;Work environment / ???? ?????;Career growth / ????? ???????;,Moderate salary + Stable hours / ???? ????? + ????? ??? ?????,Long or irregular working hours / ????? ??? ????? ?? ??? ?????? ;Lack of job security / ??? ???? ???? ?????;Unsafe or physically demanding work / ??? ??? ??? ?? ???? ??????;Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;,??,Physically demanding / ????? ????? ????;Long hours / ????? ??? ?????;,Yes
72,3/30/2026 14:02,3/30/2026 14:05,anonymous,,Female / ????,18-25,Bachelor’s degree / ?????????,Business Administration / ????? ?????,No,None / ?? ????,"Electricity, gas, steam and air-conditioning supply / ??????? ???????? ? ????? ? ?????? ? ????? ??????",I have no job / ?? ????? ?????,I have no job / ?? ????? ?????,I have no job / ?? ????? ?????,None / ?? ????,None / ?? ????,I have no job / ?? ????? ?????,I have no job / ?? ????? ?????,No,Salary / ??????;Working hours / ??? ????? ?????;Job stability / ????????? ???????;Work environment / ???? ?????;Career growth / ????? ???????;Social perception of the job / ???? ??????? ?? ???????;,Low salary + High growth potential / ???? ????? +  ??????? ??? ????? ?????,Lack of job security / ??? ???? ???? ?????;Long or irregular working hours / ????? ??? ????? ?? ??? ?????? ;Negative social perception / ???? ??????? ?????;Unsafe or physically demanding work / ??? ??? ??? ?? ???? ??????;Limited career growth / ??? ????? ?????;Location or transportation issues / ????? ?????????? ?? ???? ?????;Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;,???,Long hours / ????? ??? ?????;Lack of career growth / ??? ???? ??? ?????;Not aligned with my education / ?? ?????? ?? ???? ??????;,Yes
73,3/30/2026 14:02,3/30/2026 14:05,anonymous,,Male / ???,18-25,Bachelor’s degree / ?????????,Engineering / ???????,Yes,Government / ?????,???????,Slightly satisfied / ???? ??????,Partially matches / ?????? ??????,6-8 hours / ?-? ?????,Day / ??????,Yes,No,No,No,Job stability / ????????? ???????;,High salary + Long hours / ???? ????? + ????? ??? ?????,Lack of job security / ??? ???? ???? ?????;Unsafe or physically demanding work / ??? ??? ??? ?? ???? ??????;,???,Physically demanding / ????? ????? ????;,Yes
74,3/30/2026 14:03,3/30/2026 14:07,anonymous,,Female / ????,25-34,Bachelor’s degree / ?????????,Engineering / ???????,Yes,Private / ???,???? ?????,Slightly dissatisfied / ??? ???? ??????,Partially matches / ?????? ??????,6-8 hours / ?-? ?????,Day / ??????,Yes,Yes,No,No,Salary / ??????;Job stability / ????????? ???????;Work environment / ???? ?????;Career growth / ????? ???????;Transportation / ?????????;Working hours / ??? ????? ?????;,High salary + Long hours / ???? ????? + ????? ??? ?????,Long or irregular working hours / ????? ??? ????? ?? ??? ?????? ;Lack of job security / ??? ???? ???? ?????;Unsafe or physically demanding work / ??? ??? ??? ?? ???? ??????;Limited career growth / ??? ????? ?????;Location or transportation issues / ????? ?????????? ?? ???? ?????;Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;,"???? ??? ???????? ???? ?????? ???? ??? ?? ?? ??? ?????",Safety concerns / ????? ?? ???????;Long hours / ????? ??? ?????;Physically demanding / ????? ????? ????;Not aligned with my education / ?? ?????? ?? ???? ??????;,Not sure / ??? ?????
75,3/30/2026 14:07,3/30/2026 14:08,anonymous,,Female / ????,18-25,Bachelor’s degree / ?????????,Business Administration / ????? ?????,No,None / ?? ????,?? ???? / none,Slightly satisfied / ???? ??????,Partially matches / ?????? ??????,6-8 hours / ?-? ?????,Day / ??????,No,Yes,I have no experience / ?? ????? ????,Yes,Salary / ??????;Working hours / ??? ????? ?????;Job stability / ????????? ???????;Work environment / ???? ?????;,Moderate salary + Stable hours / ???? ????? + ????? ??? ?????,Long or irregular working hours / ????? ??? ????? ?? ??? ?????? ;Lack of job security / ??? ???? ???? ?????;Negative social perception / ???? ??????? ?????;Unsafe or physically demanding work / ??? ??? ??? ?? ???? ??????;Limited career growth / ??? ????? ?????;Mixed-gender work environment / ???? ??? ??????;Location or transportation issues / ????? ?????????? ?? ???? ?????;Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;,No ,Physically demanding / ????? ????? ????;Safety concerns / ????? ?? ???????;Not aligned with my education / ?? ?????? ?? ???? ??????;,Not sure / ??? ?????
76,3/30/2026 13:48,3/30/2026 14:09,anonymous,,Male / ???,45-55 ,Bachelor’s degree / ?????????,??????,Yes,Private / ???,Financial and insurance activities / ???????? ??????? ? ?????????,Strongly satisfied / ???? ????,Fully matches / ?????? ??????,8-10 hours / ?-?? ?????,Day / ??????,Yes,Yes,Yes,Yes,Salary / ??????;Job stability / ????????? ???????;Career growth / ????? ???????;,High salary + Long hours / ???? ????? + ????? ??? ?????,Lack of job security / ??? ???? ???? ?????;Limited career growth / ??? ????? ?????;Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;,Might be,Low salary perception / ???? ??? ?????? ?????;Lack of career growth / ??? ???? ??? ?????;Not aligned with my education / ?? ?????? ?? ???? ??????;,Yes
77,3/30/2026 14:15,3/30/2026 14:17,anonymous,,Female / ????,35-44,Bachelor’s degree / ?????????,Information Technology-Computer Science / ????? ????????? ?? ???? ??????,Yes,Private / ???,Information and communication / ?????????? ??????????,Slightly satisfied / ???? ??????,Partially matches / ?????? ??????,6-8 hours / ?-? ?????,Day / ??????,Yes,No,No,Yes,Salary / ??????;Working hours / ??? ????? ?????;Job stability / ????????? ???????;,Moderate salary + Stable hours / ???? ????? + ????? ??? ?????,Lack of job security / ??? ???? ???? ?????;,No,Physically demanding / ????? ????? ????;Safety concerns / ????? ?? ???????;Long hours / ????? ??? ?????;Not aligned with my education / ?? ?????? ?? ???? ??????;,Yes
78,3/30/2026 14:20,3/30/2026 14:22,anonymous,,Female / ????,35-44,Bachelor’s degree / ?????????,Business Administration / ????? ?????,Yes,Private / ???,Other service activities / ?????? ??????? ??????,Strongly satisfied / ???? ????,Partially matches / ?????? ??????,Less than 6 / ??? ?? ? ?????,Day / ??????,Yes,No,No,No,Salary / ??????;Working hours / ??? ????? ?????;Work environment / ???? ?????;,Moderate salary + Stable hours / ???? ????? + ????? ??? ?????,Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;,No,Physically demanding / ????? ????? ????;Safety concerns / ????? ?? ???????;,Yes
79,3/30/2026 14:18,3/30/2026 14:24,anonymous,,Female / ????,35-44,Bachelor’s degree / ?????????,??? ?????,Yes,Private / ???,Administrative and support service activities / ?????? ??????? ???????? ?????? ?????,Slightly satisfied / ???? ??????,Partially matches / ?????? ??????,8-10 hours / ?-?? ?????,Day / ??????,Yes,No,No,No,Salary / ??????;Job stability / ????????? ???????;Career growth / ????? ???????;,Moderate salary + Stable hours / ???? ????? + ????? ??? ?????,Lack of job security / ??? ???? ???? ?????;Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;Unsafe or physically demanding work / ??? ??? ??? ?? ???? ??????;Long or irregular working hours / ????? ??? ????? ?? ??? ?????? ;Negative social perception / ???? ??????? ?????;,??? ??????,Physically demanding / ????? ????? ????;Safety concerns / ????? ?? ???????;Lack of career growth / ??? ???? ??? ?????;Low salary perception / ???? ??? ?????? ?????;Long hours / ????? ??? ?????;,No
80,3/30/2026 14:23,3/30/2026 14:27,anonymous,,Female / ????,18-25,Bachelor’s degree / ?????????,?????,No,I have no experience / ?? ????? ????,I have no experience / ?? ????? ????,I have no experience / ?? ????? ????,I have no experience / ?? ????? ????,I have no experience / ?? ????? ????,None / ?? ????,None / ?? ????,I have no experience / ?? ????? ????,I have no experience / ?? ????? ????,I have no experience / ?? ????? ????,Salary / ??????;Work environment / ???? ?????;Job stability / ????????? ???????;,Low salary + High growth potential / ???? ????? +  ??????? ??? ????? ?????,Lack of job security / ??? ???? ???? ?????;Unsafe or physically demanding work / ??? ??? ??? ?? ???? ??????;,Yes,Safety concerns / ????? ?? ???????;Physically demanding / ????? ????? ????;,I have no experience / ?? ????? ????
81,3/30/2026 14:24,3/30/2026 14:27,anonymous,,Female / ????,25-34,Bachelor’s degree / ?????????,Engineering / ???????,Yes,Private / ???,??????? ???????? ???????,Slightly satisfied / ???? ??????,Fully matches / ?????? ??????,6-8 hours / ?-? ?????,Day / ??????,Yes,Yes,No,No,Salary / ??????;Career growth / ????? ???????;Work environment / ???? ?????;Working hours / ??? ????? ?????;,Moderate salary + Stable hours / ???? ????? + ????? ??? ?????,Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;Limited career growth / ??? ????? ?????;Long or irregular working hours / ????? ??? ????? ?? ??? ?????? ;Lack of job security / ??? ???? ???? ?????;Negative social perception / ???? ??????? ?????;Unsafe or physically demanding work / ??? ??? ??? ?? ???? ??????;,??? / ?? ??? ??? ?????? ?? ????? ???????,Physically demanding / ????? ????? ????;Long hours / ????? ??? ?????;Not aligned with my education / ?? ?????? ?? ???? ??????;,No
82,3/30/2026 14:23,3/30/2026 14:28,anonymous,,Male / ???,25-34,Master’s degree / ???????,Engineering / ???????,Yes,Private / ???,Manufacturing / ???????,Slightly satisfied / ???? ??????,Fully matches / ?????? ??????,8-10 hours / ?-?? ?????,Day / ??????,No,Yes,Yes,Yes,Salary / ??????;Working hours / ??? ????? ?????;Work environment / ???? ?????;Job stability / ????????? ???????;,High salary + Long hours / ???? ????? + ????? ??? ?????,Long or irregular working hours / ????? ??? ????? ?? ??? ?????? ;Lack of job security / ??? ???? ???? ?????;Negative social perception / ???? ??????? ?????;Unsafe or physically demanding work / ??? ??? ??? ?? ???? ??????;Limited career growth / ??? ????? ?????;Mixed-gender work environment / ???? ??? ??????;Location or transportation issues / ????? ?????????? ?? ???? ?????;Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;,Yes,Physically demanding / ????? ????? ????;Safety concerns / ????? ?? ???????;Low salary perception / ???? ??? ?????? ?????;Lack of career growth / ??? ???? ??? ?????;Not aligned with my education / ?? ?????? ?? ???? ??????;,Yes
83,3/30/2026 14:26,3/30/2026 14:31,anonymous,,Female / ????,55 and above,Bachelor’s degree / ?????????,"Science (Biology, Chemistry, Physics, etc.) / ?????? (???????? ????????? ????????? ???.)",Yes,Government / ?????,Education / ????????,Strongly satisfied / ???? ????,Fully matches / ?????? ??????,6-8 hours / ?-? ?????,Day / ??????,Yes,Yes,Yes,Yes,Salary / ??????;Work environment / ???? ?????;Job stability / ????????? ???????;,High salary + Long hours / ???? ????? + ????? ??? ?????,Unsafe or physically demanding work / ??? ??? ??? ?? ???? ??????;Lack of job security / ??? ???? ???? ?????;Location or transportation issues / ????? ?????????? ?? ???? ?????;,??,Safety concerns / ????? ?? ???????;Physically demanding / ????? ????? ????;Long hours / ????? ??? ?????;,Yes
84,3/30/2026 14:31,3/30/2026 14:34,anonymous,,Female / ????,18-25,Bachelor’s degree / ?????????,Business Administration / ????? ?????,Yes,Private / ???,Administrative and support service activities / ?????? ??????? ???????? ?????? ?????,Slightly satisfied / ???? ??????,Fully matches / ?????? ??????,6-8 hours / ?-? ?????,Day / ??????,Yes,Yes,Yes,Yes,Working hours / ??? ????? ?????;Work environment / ???? ?????;Career growth / ????? ???????;,Moderate salary + Stable hours / ???? ????? + ????? ??? ?????,Long or irregular working hours / ????? ??? ????? ?? ??? ?????? ;Lack of job security / ??? ???? ???? ?????;,With the right job description ,Physically demanding / ????? ????? ????;Long hours / ????? ??? ?????;,Not sure / ??? ?????
85,3/30/2026 14:31,3/30/2026 14:36,anonymous,,Male / ???,55 and above,Bachelor’s degree / ?????????,Information Technology-Computer Science / ????? ????????? ?? ???? ??????,Yes,Private / ???,Other service activities / ?????? ??????? ??????,Slightly satisfied / ???? ??????,Partially matches / ?????? ??????,6-8 hours / ?-? ?????,Day / ??????,Yes,Yes,Yes,Yes,Salary / ??????;Working hours / ??? ????? ?????;Job stability / ????????? ???????;Work environment / ???? ?????;Career growth / ????? ???????;,High salary + Long hours / ???? ????? + ????? ??? ?????,Long or irregular working hours / ????? ??? ????? ?? ??? ?????? ;Lack of job security / ??? ???? ???? ?????;Limited career growth / ??? ????? ?????;,???,Physically demanding / ????? ????? ????;Safety concerns / ????? ?? ???????;,Yes
86,3/30/2026 14:29,3/30/2026 14:36,anonymous,,Female / ????,18-25,Bachelor’s degree / ?????????,Information Technology-Computer Science / ????? ????????? ?? ???? ??????,Yes,Government / ?????,Education / ????????,Slightly satisfied / ???? ??????,Partially matches / ?????? ??????,6-8 hours / ?-? ?????,Day / ??????,Yes,Yes,Yes,No,Working hours / ??? ????? ?????;Work environment / ???? ?????;Job stability / ????????? ???????;,Moderate salary + Stable hours / ???? ????? + ????? ??? ?????,Long or irregular working hours / ????? ??? ????? ?? ??? ?????? ;Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;Mixed-gender work environment / ???? ??? ??????;Lack of job security / ??? ???? ???? ?????;,"Yes, especially in roles related to my major within industrial organizations.",Safety concerns / ????? ?? ???????;Not aligned with my education / ?? ?????? ?? ???? ??????;Long hours / ????? ??? ?????;,Yes
87,3/30/2026 14:35,3/30/2026 14:38,anonymous,,Female / ????,45-55 ,Master’s degree / ???????,Education / ???????,Yes,Private / ???,Education / ????????,Slightly satisfied / ???? ??????,Fully matches / ?????? ??????,6-8 hours / ?-? ?????,Day / ??????,Yes,Yes,No,No,Salary / ??????;Work environment / ???? ?????;Social perception of the job / ???? ??????? ?? ???????;,Moderate salary + Stable hours / ???? ????? + ????? ??? ?????,Lack of job security / ??? ???? ???? ?????;Location or transportation issues / ????? ?????????? ?? ???? ?????;,?? ????,Physically demanding / ????? ????? ????;Safety concerns / ????? ?? ???????;Long hours / ????? ??? ?????;Not aligned with my education / ?? ?????? ?? ???? ??????;,I have no experience / ?? ????? ????
88,3/30/2026 14:36,3/30/2026 14:40,anonymous,,Female / ????,55 and above,Bachelor’s degree / ?????????,"Science (Biology, Chemistry, Physics, etc.) / ?????? (???????? ????????? ????????? ???.)",Yes,Government / ?????,Education / ????????,Strongly satisfied / ???? ????,Fully matches / ?????? ??????,6-8 hours / ?-? ?????,Day / ??????,Yes,Yes,Yes,Yes,Salary / ??????;Working hours / ??? ????? ?????;Job stability / ????????? ???????;,Moderate salary + Stable hours / ???? ????? + ????? ??? ?????,Lack of job security / ??? ???? ???? ?????;,??,Physically demanding / ????? ????? ????;Safety concerns / ????? ?? ???????;Long hours / ????? ??? ?????;,Yes
89,3/30/2026 14:38,3/30/2026 14:42,anonymous,,Female / ????,45-55 ,Bachelor’s degree / ?????????,Health-Medical / ?????-????,Yes,Government / ?????,Human health and social work activities / ?????? ????? ??????? ??????? ??????????,Strongly dissatisfied / ??? ???? ????,Fully matches / ?????? ??????,8-10 hours / ?-?? ?????,None / ?? ????,No,No,No,No,Work environment / ???? ?????;Night shifts;,High salary + Long hours / ???? ????? + ????? ??? ?????,Long or irregular working hours / ????? ??? ????? ?? ??? ?????? ;Unsafe or physically demanding work / ??? ??? ??? ?? ???? ??????;Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;,No,Not aligned with my education / ?? ?????? ?? ???? ??????;,No
90,3/30/2026 14:36,3/30/2026 14:42,anonymous,,Female / ????,45-55 ,Bachelor’s degree / ?????????,"Science (Biology, Chemistry, Physics, etc.) / ?????? (???????? ????????? ????????? ???.)",Yes,Government / ?????,Education / ????????,Strongly satisfied / ???? ????,Fully matches / ?????? ??????,6-8 hours / ?-? ?????,Day / ??????,Yes,No,No,Yes,Job stability / ????????? ???????;Salary / ??????;Work environment / ???? ?????;Working hours / ??? ????? ?????;,Moderate salary + Stable hours / ???? ????? + ????? ??? ?????,Long or irregular working hours / ????? ??? ????? ?? ??? ?????? ;Lack of job security / ??? ???? ???? ?????;Mixed-gender work environment / ???? ??? ??????;,??,Safety concerns / ????? ?? ???????;Physically demanding / ????? ????? ????;Not aligned with my education / ?? ?????? ?? ???? ??????;,Yes
91,3/30/2026 14:38,3/30/2026 14:42,anonymous,,Female / ????,35-44,Bachelor’s degree / ?????????,"Science (Biology, Chemistry, Physics, etc.) / ?????? (???????? ????????? ????????? ???.)",Yes,Private / ???,Other service activities / ?????? ??????? ??????,Strongly dissatisfied / ??? ???? ????,Fully matches / ?????? ??????,8-10 hours / ?-?? ?????,Day / ??????,Yes,No,No,No,Job stability / ????????? ???????;Work environment / ???? ?????;Career growth / ????? ???????;Salary / ??????;,Moderate salary + Stable hours / ???? ????? + ????? ??? ?????,Lack of job security / ??? ???? ???? ?????;Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;,???,Safety concerns / ????? ?? ???????;Long hours / ????? ??? ?????;,No
92,3/30/2026 14:41,3/30/2026 14:43,anonymous,,Female / ????,35-44,Bachelor’s degree / ?????????,Engineering / ???????,Yes,Private / ???,Oil and gas ,Slightly satisfied / ???? ??????,Partially matches / ?????? ??????,8-10 hours / ?-?? ?????,Day / ??????,No,Yes,Yes,Yes,Working hours / ??? ????? ?????;Salary / ??????;Job stability / ????????? ???????;,Moderate salary + Stable hours / ???? ????? + ????? ??? ?????,Lack of job security / ??? ???? ???? ?????;Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;,No,Low salary perception / ???? ??? ?????? ?????;Physically demanding / ????? ????? ????;,Not sure / ??? ?????
93,3/30/2026 14:39,3/30/2026 14:46,anonymous,,Female / ????,55 and above,Bachelor’s degree / ?????????,Arts-Humanities / ??????-?????? ?????????,Yes,Government / ?????,"Public administration and defense compulsory Social Security / ???????? ?????? ???????? ?????? ????????? ????????",Strongly satisfied / ???? ????,Fully matches / ?????? ??????,6-8 hours / ?-? ?????,Day / ??????,Yes,Yes,Yes,Yes,Job stability / ????????? ???????;Work environment / ???? ?????;Career growth / ????? ???????;Salary / ??????;,Moderate salary + Stable hours / ???? ????? + ????? ??? ?????,Lack of job security / ??? ???? ???? ?????;Long or irregular working hours / ????? ??? ????? ?? ??? ?????? ;Negative social perception / ???? ??????? ?????;Unsafe or physically demanding work / ??? ??? ??? ?? ???? ??????;Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;,?? ,Not aligned with my education / ?? ?????? ?? ???? ??????;Long hours / ????? ??? ?????;,Yes
94,3/30/2026 14:38,3/30/2026 14:46,anonymous,,Female / ????,25-34,Bachelor’s degree / ?????????,??????,Yes,Private / ???,Accommodation and food service activities / ?????? ??????? ???????? ????????,Slightly dissatisfied / ??? ???? ??????,Fully matches / ?????? ??????,6-8 hours / ?-? ?????,Day / ??????,No,Yes,No,Yes,Salary / ??????;Working hours / ??? ????? ?????;Job stability / ????????? ???????;Work environment / ???? ?????;Career growth / ????? ???????;,Moderate salary + Stable hours / ???? ????? + ????? ??? ?????,Long or irregular working hours / ????? ??? ????? ?? ??? ?????? ;Lack of job security / ??? ???? ???? ?????;Negative social perception / ???? ??????? ?????;Unsafe or physically demanding work / ??? ??? ??? ?? ???? ??????;Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;Location or transportation issues / ????? ?????????? ?? ???? ?????;,?? ???? ??????? ???? ???? ????? ??? ???????? ???????,?????? ?? ????? ????? ??????? ???????? ????? ?????? ??? ??????;,Not sure / ??? ?????
95,3/30/2026 14:39,3/30/2026 14:47,anonymous,,Male / ???,55 and above,Bachelor’s degree / ?????????,Education / ???????,Yes,Government / ?????,Education / ????????,Slightly dissatisfied / ??? ???? ??????,Fully matches / ?????? ??????,6-8 hours / ?-? ?????,Day / ??????,Yes,Yes,No,Yes,Job stability / ????????? ???????;Salary / ??????;Working hours / ??? ????? ?????;Work environment / ???? ?????;Career growth / ????? ???????;Transportation / ?????????;,Moderate salary + Stable hours / ???? ????? + ????? ??? ?????,Long or irregular working hours / ????? ??? ????? ?? ??? ?????? ;Lack of job security / ??? ???? ???? ?????;Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;,?? ????,??? ?? ?????? ?? ????? ??????;,Not sure / ??? ?????
96,3/30/2026 14:44,3/30/2026 14:48,anonymous,,Female / ????,25-34,Bachelor’s degree / ?????????,Health-Medical / ?????-????,Yes,Government / ?????,Human health and social work activities / ?????? ????? ??????? ??????? ??????????,Slightly dissatisfied / ??? ???? ??????,Partially matches / ?????? ??????,8-10 hours / ?-?? ?????,Day / ??????,Yes,No,No,No,Salary / ??????;Work environment / ???? ?????;Career growth / ????? ???????;Job stability / ????????? ???????;,High salary + Long hours / ???? ????? + ????? ??? ?????,Lack of job security / ??? ???? ???? ?????;Negative social perception / ???? ??????? ?????;Unsafe or physically demanding work / ??? ??? ??? ?? ???? ??????;Location or transportation issues / ????? ?????????? ?? ???? ?????;Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;,"???? ??? ???? ?????? ?????",Low salary perception / ???? ??? ?????? ?????;Lack of career growth / ??? ???? ??? ?????;Not aligned with my education / ?? ?????? ?? ???? ??????;,No
97,3/30/2026 14:43,3/30/2026 14:49,anonymous,,Female / ????,55 and above,Bachelor’s degree / ?????????,"Science (Biology, Chemistry, Physics, etc.) / ?????? (???????? ????????? ????????? ???.)",Yes,Government / ?????,Education / ????????,Slightly dissatisfied / ??? ???? ??????,Partially matches / ?????? ??????,6-8 hours / ?-? ?????,Day / ??????,Yes,Yes,Yes,Yes,Work environment / ???? ?????;Salary / ??????;Job stability / ????????? ???????;Career growth / ????? ???????;Working hours / ??? ????? ?????;,High salary + Long hours / ???? ????? + ????? ??? ?????,Lack of job security / ??? ???? ???? ?????;Unsafe or physically demanding work / ??? ??? ??? ?? ???? ??????;Mixed-gender work environment / ???? ??? ??????;Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;,?? ??? ?????,Safety concerns / ????? ?? ???????;Physically demanding / ????? ????? ????;Long hours / ????? ??? ?????;Not aligned with my education / ?? ?????? ?? ???? ??????;,Yes
98,3/30/2026 14:45,3/30/2026 14:50,anonymous,,Female / ????,45-55 ,Bachelor’s degree / ?????????,Education / ???????,Yes,Government / ?????,Education / ????????,Strongly satisfied / ???? ????,Partially matches / ?????? ??????,6-8 hours / ?-? ?????,Day / ??????,Yes,Yes,Yes,Yes,Job stability / ????????? ???????;Work environment / ???? ?????;Career growth / ????? ???????;Transportation / ?????????;Working hours / ??? ????? ?????;Salary / ??????;,Moderate salary + Stable hours / ???? ????? + ????? ??? ?????,Lack of job security / ??? ???? ???? ?????;Unsafe or physically demanding work / ??? ??? ??? ?? ???? ??????;Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;,?? ???? ???? ?? ,Not aligned with my education / ?? ?????? ?? ???? ??????;Safety concerns / ????? ?? ???????;Long hours / ????? ??? ?????;,I have no experience / ?? ????? ????
99,3/30/2026 14:48,3/30/2026 14:53,anonymous,,Male / ???,45-55 ,Diploma / ?????,Education / ???????,Yes,Government / ?????,Education / ????????,Slightly satisfied / ???? ??????,Fully matches / ?????? ??????,Less than 6 / ??? ?? ? ?????,Day / ??????,Yes,No,No,Yes,Salary / ??????;Working hours / ??? ????? ?????;Job stability / ????????? ???????;,High salary + Long hours / ???? ????? + ????? ??? ?????,Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;,??,Not aligned with my education / ?? ?????? ?? ???? ??????;,Yes
100,3/30/2026 14:49,3/30/2026 14:55,anonymous,,Female / ????,35-44,Diploma / ?????,Business Administration / ????? ?????,Yes,Private / ???,Human health and social work activities / ?????? ????? ??????? ??????? ??????????,Strongly satisfied / ???? ????,Fully matches / ?????? ??????,6-8 hours / ?-? ?????,Day / ??????,Yes,No,No,No,Salary / ??????;Working hours / ??? ????? ?????;Job stability / ????????? ???????;Work environment / ???? ?????;Career growth / ????? ???????;,Moderate salary + Stable hours / ???? ????? + ????? ??? ?????,Long or irregular working hours / ????? ??? ????? ?? ??? ?????? ;Lack of job security / ??? ???? ???? ?????;Unsafe or physically demanding work / ??? ??? ??? ?? ???? ??????;Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;,?? ,Physically demanding / ????? ????? ????;Safety concerns / ????? ?? ???????;Not aligned with my education / ?? ?????? ?? ???? ??????;,No
101,3/30/2026 14:48,3/30/2026 14:55,anonymous,,Male / ???,45-55 ,Diploma / ?????,Education / ???????,Yes,Government / ?????,??????? ,Slightly satisfied / ???? ??????,Fully matches / ?????? ??????,6-8 hours / ?-? ?????,Day / ??????,Yes,No,Yes,Yes,Salary / ??????;Working hours / ??? ????? ?????;Job stability / ????????? ???????;Work environment / ???? ?????;,Moderate salary + Stable hours / ???? ????? + ????? ??? ?????,Long or irregular working hours / ????? ??? ????? ?? ??? ?????? ;,??,Safety concerns / ????? ?? ???????;,Yes
102,3/30/2026 14:49,3/30/2026 14:55,anonymous,,Male / ???,55 and above,Bachelor’s degree / ?????????,Education / ???????,Yes,Government / ?????,Education / ????????,Strongly satisfied / ???? ????,Fully matches / ?????? ??????,6-8 hours / ?-? ?????,Day / ??????,Yes,Yes,No,Yes,Job stability / ????????? ???????;,Moderate salary + Stable hours / ???? ????? + ????? ??? ?????,Lack of job security / ??? ???? ???? ?????;,?? ,Not aligned with my education / ?? ?????? ?? ???? ??????;,Yes
103,3/30/2026 14:52,3/30/2026 14:57,anonymous,,Male / ???,55 and above,Bachelor’s degree / ?????????,Education / ???????,Yes,Private / ???,Administrative and support service activities / ?????? ??????? ???????? ?????? ?????,Strongly satisfied / ???? ????,Fully matches / ?????? ??????,6-8 hours / ?-? ?????,Day / ??????,Yes,Yes,No,Yes,Career growth / ????? ???????;Work environment / ???? ?????;Job stability / ????????? ???????;,Moderate salary + Stable hours / ???? ????? + ????? ??? ?????,Lack of job security / ??? ???? ???? ?????;Negative social perception / ???? ??????? ?????;Unsafe or physically demanding work / ??? ??? ??? ?? ???? ??????;Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;,No,Not aligned with my education / ?? ?????? ?? ???? ??????;,Yes
